model,dataset,queries,requested_counterfactuals_per_query,generated_counterfactuals,valid_counterfactuals,validity_rate,query_coverage,mean_sparsity_changes,mean_proximity,mean_set_diversity,failed_queries,predictive_roc_auc,predictive_average_precision,predictive_accuracy,predictive_balanced_accuracy,predictive_f1,predictive_brier_score,predictive_n,predictive_positive_rate,predictive_predicted_positive_rate,dice_method
adaboost,give_me_some_credit,10,4,40,40,1.0,1.0,6.45,1.3296216551875202,0.1626170040210478,0,0.860504418474931,0.3824789363760051,0.7867733333333333,0.7768348476658249,0.3242055442866802,0.1877987732815767,37500,0.0668266666666666,0.2486933333333333,genetic
adaboost,taiwan_credit,10,4,29,29,1.0,1.0,14.517241379310343,1.3181875542924828,0.344487433870435,0,0.7682463110482849,0.5407615230753506,0.7678666666666667,0.7027232821053889,0.5275440976933514,0.2073033513575692,7500,0.2212,0.2701333333333333,genetic
xgboost,german_credit,10,4,35,35,1.0,1.0,3.257142857142857,0.2355264024365148,0.1332786740932808,0,0.8089904761904761,0.6380312527619092,0.752,0.7276190476190476,0.6172839506172839,0.1666207859745382,250,0.3,0.348,genetic
xgboost,give_me_some_credit,10,4,40,38,0.95,1.0,5.289473684210527,10.334949875379923,0.2481215150665879,0,0.8689138808472513,0.4081158605186202,0.7991466666666667,0.7873544483124482,0.3398773006134969,0.138749118415752,37500,0.0668266666666666,0.23744,genetic
xgboost,taiwan_credit,10,4,38,38,1.0,1.0,13.842105263157896,1.021544752186989,0.4613361494009537,0,0.7768954447778734,0.554475041765088,0.7606666666666667,0.7116952155570477,0.535575679172057,0.1789993116183804,7500,0.2212,0.2941333333333333,genetic
logistic_regression,german_credit,10,4,40,40,1.0,1.0,3.325,0.3009973410640545,0.1291337550817888,0,0.8073142857142857,0.6433942050390978,0.748,0.7628571428571429,0.6557377049180327,0.1806215871410536,250,0.3,0.432,random
logistic_regression,give_me_some_credit,10,4,40,40,1.0,1.0,2.8,87.82609957090753,23.335090348164258,0,0.8004512322965317,0.3216757211179901,0.7725333333333333,0.7217853239554326,0.2804116753838366,0.1802000248968931,37500,0.0668266666666666,0.24928,random
logistic_regression,taiwan_credit,10,4,40,40,1.0,1.0,1.775,8.964850955913056,9.932820382634686,0,0.7160511026634176,0.4993624662202417,0.6804,0.6633997126380735,0.466977985323549,0.2085405208528186,7500,0.2212,0.3784,random
decision_tree,german_credit,10,4,40,40,1.0,1.0,1.95,0.1044631710362047,0.1433766685873427,0,0.6485333333333334,0.4415139162458226,0.632,0.6114285714285714,0.4772727272727273,0.2850291176164216,250,0.3,0.404,random
decision_tree,give_me_some_credit,10,4,40,40,1.0,1.0,1.775,13.516609266563,18.82149455365741,0,0.688194415588106,0.2038270303594865,0.8423733333333333,0.6791853748865214,0.2938716999163779,0.1256864619135104,37500,0.0668266666666666,0.1564,random
decision_tree,taiwan_credit,10,4,40,40,1.0,1.0,1.65,3.4003869086044944,4.970879912132317,0,0.6725087430944544,0.3764108491028797,0.702,0.6405838196226525,0.4405506883604506,0.2402058460798332,7500,0.2212,0.3114666666666666,random
random_forest,german_credit,10,4,40,40,1.0,1.0,2.175,0.1360485690963219,0.1467402925829892,0,0.7968,0.6351175876309567,0.776,0.6952380952380952,0.5692307692307692,0.1650682513639036,250,0.3,0.22,random
random_forest,give_me_some_credit,10,4,40,40,1.0,1.0,2.0,15.710119169129944,20.57020381812832,0,0.8513796356652816,0.3724919342293642,0.9336,0.6380419518730859,0.3740573152337858,0.0527855709925269,37500,0.0668266666666666,0.0392533333333333,random
random_forest,taiwan_credit,10,4,40,40,1.0,1.0,2.0,3.676735300903061,4.921636247626512,0,0.7676800699757147,0.5475820862413103,0.8098666666666666,0.6737996323922091,0.5,0.1402592529563178,7500,0.2212,0.1590666666666666,random
adaboost,german_credit,10,4,40,40,1.0,1.0,2.05,0.2506462774896764,0.1120196509171228,0,0.7940571428571428,0.6090518172324008,0.732,0.74,0.6298342541436464,0.2137797211477445,250,0.3,0.424,random
adaboost,give_me_some_credit,10,4,39,39,1.0,1.0,5.0256410256410255,4.835889290632887,6.757308113602956,0,0.860504418474931,0.3824789363760051,0.7867733333333333,0.7768348476658249,0.3242055442866802,0.1877987732815767,37500,0.0668266666666666,0.2486933333333333,random
adaboost,taiwan_credit,10,4,40,40,1.0,1.0,5.775,11.179337702368564,12.809447725213854,0,0.7682463110482849,0.5407615230753506,0.7678666666666667,0.7027232821053889,0.5275440976933514,0.2073033513575692,7500,0.2212,0.2701333333333333,random
xgboost,german_credit,10,4,40,40,1.0,1.0,2.0,0.1520946473158551,0.1112517806267806,0,0.8089904761904761,0.6380312527619092,0.752,0.7276190476190476,0.6172839506172839,0.1666207859745382,250,0.3,0.348,random
xgboost,give_me_some_credit,10,4,36,36,1.0,1.0,5.194444444444445,17.431556510897007,13.256112683636598,0,0.8689138808472513,0.4081158605186202,0.7991466666666667,0.7873544483124482,0.3398773006134969,0.138749118415752,37500,0.0668266666666666,0.23744,random
xgboost,taiwan_credit,10,4,40,40,1.0,1.0,3.1,8.11537312391208,9.127428146193278,0,0.7768954447778734,0.554475041765088,0.7606666666666667,0.7116952155570477,0.535575679172057,0.1789993116183804,7500,0.2212,0.2941333333333333,random
